"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Rampage,,5d09622379ff37fe4c9f71700e8832b2ebcead61,,,,,,"1989; Activision; b1",,,,,,,,,,,,,,,,
"Scrapyard Dog",,5fec935aa0e284e6373f456e5fb9158892d0f4e8,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
"Tower Toppler",,601818803ca6cfa55b7c0154fc9841001d7b379f,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Kung-Fu Master",,624a8f70b433f04942d5544289ac156d50b93610,,,,,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,,
@,,625829093ce079c88a9c9129c0dab709311ff7a0,,,Joust,,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,,
Joust,,63470ed89bf256fbe33e081bf2793e9c947619fe,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
Choplifter!,,6457dd40aeadb9733602c4ad3498780ebd7bf0d1,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
Xevious,,652e633776f608a3c2a1030a6796ba0c8669d8f0,,,,,,"Video NTSC",1988,Atari,,,"a 1",,,,,,,,,,,
"Senso 7800 DX4",,678d7ca5aa01ea2f8a1c3d05239a66485dcb688d,,,,,,"Copyright Public Domain",2003,Taquart,,,,,,,,,,,,,,
"Double Dragon",,6ac3621d153e20ad44fabbdaf65b74c20fbb9fdb,,,,,,"Video NTSC",1989,Activision,,,,,,,,,,,,,,
Jinks,,6b1a67a8639c89bb9ae8e1200c1fa910e9d55476,,,,,,"Video PAL",1989,Atari,,,,,,,,,,,,,,
"Water Ski",,6bb0205b88886f3079f50a25d7e6708bab32a49a,,,,,,"Video NTSC",1988,Froggo,,b,"b 1",,,,,,,,,,,
Basketbrawl,,6cceb878627fbcae67ae1c7e0fbdbbd7a9dd0693,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
"Title Match Pro Wrestling",,6ff9937e199ba98934a27170413cb962f5fc1218,,,,,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,,
"Pit Fighter",,70eb9cbc1166c6ee46e100c8c73f979a66ba6cb3,,,,,,"Video NTSC; Language proto",1992,Atari,,b,"b 1",,,,,,,,,,,
"Pete Rose Baseball",,7144cb51e759168fc0e02d02776cde9c4da76ea1,,,,,,"Video NTSC",1989,"Absolute Entertainment",,b,"b 1",,,,,,,,,,,
"Dark Chambers",,72c77e330825c0b82af7f6df310304152a54631c,,,,,,"Video PAL",1988,Atari,,,,,,,,,,,,,,
"Space War!",,738f43e30fba8a32ed74a45067fa21ab15e564bd,,,,,,"V20031018; PD",,"Eric Ball",,,,,,,,,,,,,,
"Beef Drop 7800",,75466954e39abd99bcc24c647865766ee6ce3f16,,,,,,V20041030-Rev08_CC2,,,,,,,,,,,,,,,,
Galaga,,759d582fdbfa92f451b6c4a8bc739fc3e9f7128e,,,,,,"Video PAL",1987,Atari,,,,,,,,,,,,,,
Baseball,,776513b6408bb81ec3436cc8006db826a5bc83fd,,,,,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,,
"Robotron: 2084",,77c3445993f2d0a2acf0a453ef80bc31e047b932,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
"3D Asteroids",,7874a9c33bcfdea480932c34307a7623891c27de,,,,,,"Video NTSC; Language proto",1984,Atari,,,,,,,,,,,,,,
Rampage,,78b58a68239e2016b15699f0c113984487156c22,,,,,,"Video NTSC",1989,Activision,,,,,,,,,,,,,,
"Tank Command",,7bc65ab655ff9360ecb4c12adea430b0ffda7404,,,,,,"Video NTSC",1988,Froggo,,b,"b 1",,,,,,,,,,,
"Tower Toppler",,7c5e2a16e8c8d88b044e5ff26355c56510830188,,,,,,"Video NTSC",1988,Atari,,o,"o 1",,,,,,,,,,,
Commando,,7d56547db021ed5ab5511ba1015f395ba1d6c70f,,,,,,"Video PAL",1989,Atari,,,,,,,,,,,,,,
